player_id,surname,forename,player_name,player_dob,comp_rec_pos
BarnettGraham19360517,Barnett,Graham,Graham Barnett,1936-05-17,Inside Forward
BarrettArthur19271221,Barrett,Arthur,Arthur Barrett,1927-12-21,Half Back
BarrieJohn19250517,Barrie,John,John Barrie,1925-05-17,Fullback
BartonTeddy11904,Barton,Teddy,Teddy Barton,,Right Half
BauressGary19710119,Bauress,Gary,Gary Bauress,1971-01-19,Center Half
BavinJohn19210525,Bavin,John,John Bavin,1921-05-25,Fullback
BeamishKenny19470825,Beamish,Kenny,Kenny Beamish,1947-08-25,Forward
BedfordFred19020625,Bedford,Fred,Fred Bedford,1902-06-25,Outside Right
BellBunny19110410,Bell,Bunny,Bunny Bell,1911-04-10,Center Forward
BellGraham19550330,Bell,Graham,Graham Bell,1955-03-30,Midfielder
BellHarold19241122,Bell,Harold,Harold Bell,1924-11-22,Center Half
BennettGary19630920,Bennett,Gary,Gary Bennett,1963-09-20,Forward
BestJohn19400711,Best,John,John Best,1940-07-11,Half Back
BeswickSammy19030308,Beswick,Sammy,Sammy Beswick,1903-03-08,Center Forward
BevanHarry19060223,Bevan,Harry,Harry Bevan,1906-02-23,Inside Left
BillingtonStan19370223,Billington,Stan,Stan Billington,1937-02-23,Fullback
BirminghamCharles19220824,Birmingham,Charles,Charles Birmingham,1922-08-24,Inside Forward
BirtlesDanny19040224,Birtles,Danny,Danny Birtles,1904-02-24,Outside Right
BishopEddie19621128,Bishop,Eddie,Eddie Bishop,1962-11-28,Midfielder
BlundellAlan19470818,Blundell,Alan,Alan Blundell,1947-08-18,Half Back
BonettiIvano19640801,Bonetti,Ivano,Ivano Bonetti,1964-08-01,Winger
BowenWilliam19090316,Bowen,William,William Bowen,1909-03-16,Center Forward
BracewellKen19361005,Bracewell,Ken,Ken Bracewell,1936-10-05,Fullback
BradshawGeorge19040312,Bradshaw,George,George Bradshaw,1904-03-12,Left Back
BradshawHarry18950122,Bradshaw,Harry,Harry Bradshaw,1895-01-22,Goalkeeper
BramhallJohn19561120,Bramhall,John,John Bramhall,1956-11-20,Center Half
BranchGraham19720212,Branch,Graham,Graham Branch,1972-02-12,Winger
BrannanGed19720115,Brannan,Ged,Ged Brannan,1972-01-15,Fullback
BrennanMike19410506,Brennan,Mike,Mike Brennan,1941-05-06,Fullback
BridgesHarold19150630,Bridges,Harold,Harold Bridges,1915-06-30,Inside Left
BriggsArthur19000527,Briggs,Arthur,Arthur Briggs,1900-05-27,Goalkeeper
BrodieEric19401108,Brodie,Eric,Eric Brodie,1940-11-08,Wing Half
BrownAndy19630817,Brown,Andy,Andy Brown,1963-08-17,Defender
BrownDave19631021,Brown,Dave,Dave Brown,1963-10-21,Defender
BrownJack,Brown,Jack,Jack Brown,,Inside Forward
BrownJock19350402,Brown,Jock,Jock Brown,1935-04-02,Left Back
BrownOwen19600904,Brown,Owen,Owen Brown,1960-09-04,Forward
BrownSamuel19080501,Brown,Samuel,Samuel Brown,1908-05-01,Inside Right
BuchanTom31889,Buchan,Tom,Tom Buchan,,Right Half
BuckleyTed19120913,Buckley,Ted,Ted Buckley,1912-09-13,Center Forward
BullockSteve19661005,Bullock,Steve,Steve Bullock,1966-10-05,Defender
BulloughDenis18951129,Bullough,Denis,Denis Bullough,1895-11-29,Center Forward
BurgessDavid19600120,Burgess,David,David Burgess,1960-01-20,Left Back
BurginMeynell19111129,Burgin,Meynell,Meynell Burgin,1911-11-29,Center Forward
BurkeMarshall19590326,Burke,Marshall,Marshall Burke,1959-03-26,Defender
BurnsKinear19230924,Burns,Kinear,Kinear Burns,1923-09-24,Outside Right
BurrowsWilf11902,Burrows,Wilf,Wilf Burrows,,Goalkeeper
ButlerCharles19080320,Butler,Charles,Charles Butler,1908-03-20,Inside Right
ByrneJohn19390525,Byrne,John,John Byrne,1939-05-25,Outside Left
ByrneJohn19490324,Byrne,John,John Byrne,1949-03-24,Outside Right
ByromTom19200317,Byrom,Tom,Tom Byrom,1920-03-17,Wing Half
CahillPaul19550929,Cahill,Paul,Paul Cahill,1955-09-29,Defender
CamdenChris19630528,Camden,Chris,Chris Camden,1963-05-28,Center Forward
CampbellJohnny18941014,Campbell,Johnny,Johnny Campbell,1894-10-14,Wing Half
CampbellLes19350726,Campbell,Les,Les Campbell,1935-07-26,Winger
CampbellTommy19350220,Campbell,Tommy,Tommy Campbell,1935-02-20,Center Forward
CarlsonGeorge19250727,Carlson,George,George Carlson,1925-07-27,Center Forward
CarmodyMike19660209,Carmody,Mike,Mike Carmody,1966-02-09,Midfielder
CarterJoseph18990727,Carter,Joseph,Joseph Carter,1899-07-27,Inside Right
CartmanBert19000228,Cartman,Bert,Bert Cartman,1900-02-28,Outside Left
CartwrightWilliam19220611,Cartwright,William,William Cartwright,1922-06-11,Center Half
CarvellArthur19110526,Carvell,Arthur,Arthur Carvell,1911-05-26,Left Back
CaseyGerry19410825,Casey,Gerry,Gerry Casey,1941-08-25,Half Back
CassidyJames,Cassidy,James,James Cassidy,,Inside Left
ChadwickHarold19190125,Chadwick,Harold,Harold Chadwick,1919-01-25,Outside Right
ChallinorDave19751002,Challinor,Dave,Dave Challinor,1975-10-02,Central Defender
ChalmersBilly19010403,Chalmers,Billy,Billy Chalmers,1901-04-03,Outside Left
ChamberlainAlec19640620,Chamberlain,Alec,Alec Chamberlain,1964-06-20,Goalkeeper
CharltonBilly19001010,Charlton,Billy,Billy Charlton,1900-10-10,Inside Left
CharltonWilf19330912,Charlton,Wilf,Wilf Charlton,1933-09-12,Wing Half
ChecklandFrank18950731,Checkland,Frank,Frank Checkland,1895-07-31,Half Back
ChivertonTed11913,Chiverton,Ted,Ted Chiverton,,Right Half
ClarkArchie19020404,Clark,Archie,Archie Clark,1902-04-04,Center Half
ClarkeColin19621030,Clarke,Colin,Colin Clarke,1962-10-30,Center Forward
ClaytonGordon19361103,Clayton,Gordon,Gordon Clayton,1936-11-03,Goalkeeper
ClaytonJohn19610820,Clayton,John,John Clayton,1961-08-20,Forward
CliffEddie19510930,Cliff,Eddie,Eddie Cliff,1951-09-30,Midfielder
ClintonTommy19260413,Clinton,Tommy,Tommy Clinton,1926-04-13,Fullback
ColemanTony19450502,Coleman,Tony,Tony Coleman,1945-05-02,Outside Left
CollingsPaul19680930,Collings,Paul,Paul Collings,1968-09-30,Goalkeeper
ConnerDick19310813,Conner,Dick,Dick Conner,1931-08-13,Wing Half
ConnorBill,Connor,Bill,Bill Connor,,Right Back
ConnorJohn19140201,Connor,John,John Connor,1914-02-01,Fullback
ConroyBobby19290620,Conroy,Bobby,Bobby Conroy,1929-06-20,Left Back
CookFred,Cook,Fred,Fred Cook,,Outside Right
CookGeorge1909,Cook,George,George Cook,,Fullback
CookPaul19670222,Cook,Paul,Paul Cook,1967-02-22,Midfielder
CooperSteve19640622,Cooper,Steve,Steve Cooper,1964-06-22,Forward
CoppellSteve19550709,Coppell,Steve,Steve Coppell,1955-07-09,Outside Right
CoxAlan19200904,Cox,Alan,Alan Cox,1920-09-04,Inside Forward
CoyneDanny19730827,Coyne,Danny,Danny Coyne,1973-08-27,Goalkeeper
CoyneJohn19510718,Coyne,John,John Coyne,1951-07-18,Forward
CoyneTommy19621114,Coyne,Tommy,Tommy Coyne,1962-11-14,Forward
CravenSteve19570917,Craven,Steve,Steve Craven,1957-09-17,Midfielder
CrawfordBruce19381010,Crawford,Bruce,Bruce Crawford,1938-10-10,Wing Half
CreweBilly19011126,Crewe,Billy,Billy Crewe,1901-11-26,Right Half
CromptonArthur19030109,Crompton,Arthur,Arthur Crompton,1903-01-09,Wing Half
CropperReg19020121,Cropper,Reg,Reg Cropper,1902-01-21,Inside Left
CrossanEddie19251117,Crossan,Eddie,Eddie Crossan,1925-11-17,Inside Forward
CrossleyPaul19480714,Crossley,Paul,Paul Crossley,1948-07-14,Forward
CrowtherGeorge21892,Crowther,George,George Crowther,,Center Forward
CrutchleyVic31910,Crutchley,Vic,Vic Crutchley,,Right Back
CumbesJim19440504,Cumbes,Jim,Jim Cumbes,1944-05-04,Goalkeeper
CunninghamCharlie,Cunningham,Charlie,Charlie Cunningham,,Inside Left
CurnowJack19100131,Curnow,Jack,Jack Curnow,1910-01-31,Goalkeeper
CurranFrank19170531,Curran,Frank,Frank Curran,1917-05-31,Inside Forward
CurtisCharlie,Curtis,Charlie,Charlie Curtis,,Wing Half
DArcyFrank19461208,D'Arcy,Frank,Frank D'Arcy,1946-12-08,Fullback
DaleDickie18960521,Dale,Dickie,Dickie Dale,1896-05-21,Center Half
DaltonTim19651014,Dalton,Tim,Tim Dalton,1965-10-14,Goalkeeper
DaviesDai19480401,Davies,Dai,Dai Davies,1948-04-01,Goalkeeper
DaviesErnie,Davies,Ernie,Ernie Davies,,Right Half
DaviesKeith19340219,Davies,Keith,Keith Davies,1934-02-19,Inside Forward
DaviesRay19311003,Davies,Ray,Ray Davies,1931-10-03,Inside Forward
DavisSamuel19000525,Davis,Samuel,Samuel Davis,1900-05-25,Right Back
DavisThomas1911,Davis,Thomas,Thomas Davis,,Inside Right
DawsonFrank19081017,Dawson,Frank,Frank Dawson,1908-10-17,Left Back
DayAlf19071002,Day,Alf,Alf Day,1907-10-02,Right Half
DeanDixie19070122,Dean,Dixie,Dixie Dean,1907-01-22,Center Forward
DellowRonnie19140713,Dellow,Ronnie,Ronnie Dellow,1914-07-13,Outside Right
DemaineDave19420507,Demaine,Dave,Dave Demaine,1942-05-07,Winger
DempseyJohn19510402,Dempsey,John,John Dempsey,1951-04-02,Fullback
DillonVince19231002,Dillon,Vince,Vince Dillon,1923-10-02,Center Forward
DixonErnie19010710,Dixon,Ernie,Ernie Dixon,1901-07-10,Center Forward
DockingStan19141213,Docking,Stan,Stan Docking,1914-12-13,Inside Left
DoddErnie19140501,Dodd,Ernie,Ernie Dodd,1914-05-01,Right Back
DoddJim19331212,Dodd,Jim,Jim Dodd,1933-12-12,Center Forward
DoneCyril19201021,Done,Cyril,Cyril Done,1920-10-21,Center Forward
DoonanTom19221005,Doonan,Tom,Tom Doonan,1922-10-05,Center Forward
DuffStanley11919,Duff,Stanley,Stanley Duff,,Outside Left
DuffyAlan19491220,Duffy,Alan,Alan Duffy,1949-12-20,Inside Forward
DysonBarry19420906,Dyson,Barry,Barry Dyson,1942-09-06,Inside Forward
EasthamHarry19170630,Eastham,Harry,Harry Eastham,1917-06-30,Inside Left
EatonSteve19591225,Eaton,Steve,Steve Eaton,1959-12-25,Defender
EdenBilly19050701,Eden,Billy,Billy Eden,1905-07-01,Outside Left
EdwardsElfyn19600504,Edwards,Elfyn,Elfyn Edwards,1960-05-04,Center Half
EdwardsMalcolm19391025,Edwards,Malcolm,Malcolm Edwards,1939-10-25,Left Half
EdwardsMike19740910,Edwards,Mike,Mike Edwards,1974-09-10,Midfielder
EdwardsSteve19580111,Edwards,Steve,Steve Edwards,1958-01-11,Defender
EdwardsWilliam,Edwards,William,William Edwards,,Right Half
EglingtonTommy19230115,Eglington,Tommy,Tommy Eglington,1923-01-15,Outside Left
EllisonNorman19291102,Ellison,Norman,Norman Ellison,1929-11-02,Outside Right
EndersbyScott19620220,Endersby,Scott,Scott Endersby,1962-02-20,Goalkeeper
EvansBernard19370104,Evans,Bernard,Bernard Evans,1937-01-04,Center Forward
EvansClive19570501,Evans,Clive,Clive Evans,1957-05-01,Midfielder
EvansDennis19350723,Evans,Dennis,Dennis Evans,1935-07-23,Fullback
EvansHerbie18940830,Evans,Herbie,Herbie Evans,1894-08-30,Half Back
EvansJabez18950429,Evans,Jabez,Jabez Evans,1895-04-29,Outside Left
FaganKit19500605,Fagan,Kit,Kit Fagan,1950-06-05,Wing Half
FaircloughDavid19570105,Fairclough,David,David Fairclough,1957-01-05,Forward
FaircloughPeter,Fairclough,Peter,Peter Fairclough,,Left Half
FairhurstDick19110905,Fairhurst,Dick,Dick Fairhurst,1911-09-05,Right Back
FarnworthSimon19631028,Farnworth,Simon,Simon Farnworth,1963-10-28,Goalkeeper
FarrellPeter19220816,Farrell,Peter,Peter Farrell,1922-08-16,Wing Half
FarrimondSyd19400717,Farrimond,Syd,Syd Farrimond,1940-07-17,Left Back
FergusonMark19601106,Ferguson,Mark,Mark Ferguson,1960-11-06,Forward
FinlayPat19380318,Finlay,Pat,Pat Finlay,1938-03-18,Left Back
FinneyKen19290310,Finney,Ken,Ken Finney,1929-03-10,Outside Right
FishwickBert11899,Fishwick,Bert,Bert Fishwick,,Inside Left
FlanaganJack11902,Flanagan,Jack,Jack Flanagan,,Center Forward
FlemingMike19280223,Fleming,Mike,Mike Fleming,1928-02-23,Inside Forward
FloodEddie19521119,Flood,Eddie,Eddie Flood,1952-11-19,Fullback
FlowersGeorge19070507,Flowers,George,George Flowers,1907-05-07,Left Half
FoggBilly19030309,Fogg,Billy,Billy Fogg,1903-03-09,Inside Right
FordJohn,Ford,John,John Ford,,Inside Right
ForshawAllen,Forshaw,Allen,Allen Forshaw,,Right Back
ForshawArthur31913,Forshaw,Arthur,Arthur Forshaw,,Outside Right
FosterWilliam,Foster,William,William Foster,,Center Forward
FraserNathan19130416,Fraser,Nathan,Nathan Fraser,1913-04-16,Center Forward
FrithDavid19290317,Frith,David,David Frith,1929-03-17,Fullback
FrostWinston21911,Frost,Winston,Winston Frost,,Goalkeeper
FryeJohn19330727,Frye,John,John Frye,1933-07-27,Inside Forward
FultonDavid18951016,Fulton,David,David Fulton,1895-10-16,Center Forward
GarnettShaun19691122,Garnett,Shaun,Shaun Garnett,1969-11-22,Central Defender
GaskellAlec19320730,Gaskell,Alec,Alec Gaskell,1932-07-30,Center Forward
GibsonWilliam19260917,Gibson,William,William Gibson,1926-09-17,Fullback
GillFrancis11897,Gill,Francis,Francis Gill,,Goalkeeper
GillFrank19481205,Gill,Frank,Frank Gill,1948-12-05,Winger
GlasperWilliam41910,Glasper,William,William Glasper,,Right Half
GlennonChris19491029,Glennon,Chris,Chris Glennon,1949-10-29,Forward
GodwinVerdi19260211,Godwin,Verdi,Verdi Godwin,1926-02-11,Center Forward
GoodJohn19330129,Good,John,John Good,1933-01-29,Outside Right
GoodlassRonnie19530906,Goodlass,Ronnie,Ronnie Goodlass,1953-09-06,Outside Left
GortonAndy19660923,Gorton,Andy,Andy Gorton,1966-09-23,Goalkeeper
GouldHarry19250105,Gould,Harry,Harry Gould,1925-01-05,Inside Forward
GrahamBobby19441122,Graham,Bobby,Bobby Graham,1944-11-22,Forward
GraingerJohn1896,Grainger,John,John Grainger,,Right Back
GrayAlbert19000923,Gray,Albert,Albert Gray,1900-09-23,Goalkeeper
GrayMatthew19070418,Gray,Matthew,Matthew Gray,1907-04-18,Left Half
GrayRobert19031007,Gray,Robert,Robert Gray,1903-10-07,Left Half
GreenJohnny19390522,Green,Johnny,Johnny Green,1939-05-22,Inside Forward
GreenwoodRoy19520926,Greenwood,Roy,Roy Greenwood,1952-09-26,Forward
GriersonDarrell19681030,Grierson,Darrell,Darrell Grierson,1968-10-30,Goalkeeper
GriffithsClive19550122,Griffiths,Clive,Clive Griffiths,1955-01-22,Central Defender
GriffithsDavid19510525,Griffiths,David,David Griffiths,1951-05-25,Fullback
GriffithsIan19600417,Griffiths,Ian,Ian Griffiths,1960-04-17,Outside Left
GriffithsJames1918,Griffiths,James,James Griffiths,,Outside Left
GriffithsJoe1892,Griffiths,Joe,Joe Griffiths,,Outside Left
GrovesFred18920506,Groves,Fred,Fred Groves,1892-05-06,Inside Right
GubbinsRalph19320131,Gubbins,Ralph,Ralph Gubbins,1932-01-31,Inside Forward
GwatkinPhil19290805,Gwatkin,Phil,Phil Gwatkin,1929-08-05,Outside Right
HaganAlf18931111,Hagan,Alf,Alf Hagan,1893-11-11,Inside Forward
HallTony19690117,Hall,Tony,Tony Hall,1969-01-17,Defender
HalsteadFred41896,Halstead,Fred,Fred Halstead,,Center Half
HamiltonBryan19461221,Hamilton,Bryan,Bryan Hamilton,1946-12-21,Midfielder
HamiltonDuke19060327,Hamilton,Duke,Duke Hamilton,1906-03-27,Right Back
HarlockDes19221220,Harlock,Des,Des Harlock,1922-12-20,Outside Right
HarrisAlbert19311121,Harris,Albert,Albert Harris,1931-11-21,Goalkeeper
HarrisJimmy19330818,Harris,Jimmy,Jimmy Harris,1933-08-18,Center Forward
HarropBobby19360825,Harrop,Bobby,Bobby Harrop,1936-08-25,Wing Half
HarveyJimmy19580502,Harvey,Jimmy,Jimmy Harvey,1958-05-02,Midfielder
HawardenAndrew18950630,Hawarden,Andrew,Andrew Hawarden,1895-06-30,Left Half
HayAlan19581128,Hay,Alan,Alan Hay,1958-11-28,Left Back
HayesCharlie18931207,Hayes,Charlie,Charlie Hayes,1893-12-07,Right Back
HayesFred,Hayes,Fred,Fred Hayes,,Inside Left
HayesJohn,Hayes,John,John Hayes,,Inside Forward
HeapStuart19650207,Heap,Stuart,Stuart Heap,1965-02-07,Forward
HeathJohn19360605,Heath,John,John Heath,1936-06-05,Goalkeeper
HeathSeamus19611206,Heath,Seamus,Seamus Heath,1961-12-06,Midfielder
HenshawErnie19101128,Henshaw,Ernie,Ernie Henshaw,1910-11-28,Center Forward
HeslopTom,Heslop,Tom,Tom Heslop,,Left Half
HeydonJackie19281019,Heydon,Jackie,Jackie Heydon,1928-10-19,Right Half
HeywoodBert31913,Heywood,Bert,Bert Heywood,,Outside Right
HicksonDave19291030,Hickson,Dave,Dave Hickson,1929-10-30,Center Forward
HigginsDave19610819,Higgins,Dave,Dave Higgins,1961-08-19,Central Defender
HilditchMark19600820,Hilditch,Mark,Mark Hilditch,1960-08-20,Center Forward
HillAlan19330701,Hill,Alan,Alan Hill,1933-07-01,Outside Left
HillMandy19400215,Hill,Mandy,Mandy Hill,1940-02-15,Outside Right
HillReginald1907,Hill,Reginald,Reginald Hill,,Center Half
HiltonHarold18891113,Hilton,Harold,Harold Hilton,1889-11-13,Inside Right
HinchJimmy19471108,Hinch,Jimmy,Jimmy Hinch,1947-11-08,Center Forward
HodgsonLaurie19170119,Hodgson,Laurie,Laurie Hodgson,1917-01-19,Fullback
HolderAlan19311210,Holder,Alan,Alan Holder,1931-12-10,Forward
HollifieldMike19610502,Hollifield,Mike,Mike Hollifield,1961-05-02,Fullback
HoodJackie19380108,Hood,Jackie,Jackie Hood,1938-01-08,Inside Forward
HopkinsonSamuel19020209,Hopkinson,Samuel,Samuel Hopkinson,1902-02-09,Left Half
HornbyEric19230331,Hornby,Eric,Eric Hornby,1923-03-31,Fullback
HorwoodNeil19640804,Horwood,Neil,Neil Horwood,1964-08-04,Center Forward
HudsonGeorge19370314,Hudson,George,George Hudson,1937-03-14,Center Forward
HughesDavid19430427,Hughes,David,David Hughes,1943-04-27,Winger
HughesMark19620203,Hughes,Mark,Mark Hughes,1962-02-03,Central Defender
HughesThomas,Hughes,Thomas,Thomas Hughes,,Outside Left
HuntRobert,Hunt,Robert,Robert Hunt,,Outside Right
HutchinsonBobby19530619,Hutchinson,Bobby,Bobby Hutchinson,1953-06-19,Midfielder
HyamJames,Hyam,James,James Hyam,,Center Forward
IcetonLloyd19200330,Iceton,Lloyd,Lloyd Iceton,1920-03-30,Outside Left
ImlachMike19620919,Imlach,Mike,Mike Imlach,1962-09-19,Defender
IronsKenny19701104,Irons,Kenny,Kenny Irons,1970-11-04,Midfielder
JackAndrew19230630,Jack,Andrew,Andrew Jack,1923-06-30,Center Forward
JacksonArchie19010125,Jackson,Archie,Archie Jackson,1901-01-25,Center Half
JacksonDavid19370123,Jackson,David,David Jackson,1937-01-23,Inside Forward
JacksonGeorge18930617,Jackson,George,George Jackson,1893-06-17,Fullback
JacksonJimmy18960414,Jackson,Jimmy,Jimmy Jackson,1896-04-14,Inside Forward
JacksonPeter19370123,Jackson,Peter,Peter Jackson,1937-01-23,Center Half
JacksonWilliam,Jackson,William,William Jackson,,Fullback
JacksonWiliam19241208,Jackson,Wiliam,Wiliam Jackson,1924-12-08,Half Back
JamesJohn19481024,James,John,John James,1948-10-24,Forward
JeffesAlbert18971001,Jeffes,Albert,Albert Jeffes,1897-10-01,Half Back
JohnsonBrian19481029,Johnson,Brian,Brian Johnson,1948-10-29,Half Back
JohnsonDavid19510417,Johnson,David,David Johnson,1951-04-17,Goalkeeper
JohnsonDickie19530220,Johnson,Dickie,Dickie Johnson,1953-02-20,Goalkeeper
JohnsonJohn41906,Johnson,John,John Johnson,,Half Back
JohnstoneRobert19180913,Johnstone,Robert,Robert Johnstone,1918-09-13,Fullback
JolleyCharlie19360303,Jolley,Charlie,Charlie Jolley,1936-03-03,Center Forward
JonesBenny19200323,Jones,Benny,Benny Jones,1920-03-23,Winger
JonesDerek19290424,Jones,Derek,Derek Jones,1929-04-24,Fullback
JonesGary19750510,Jones,Gary,Gary Jones,1975-05-10,Center Forward
JonesGwyn11912,Jones,Gwyn,Gwyn Jones,,Left Back
JonesLee19730529,Jones,Lee,Lee Jones,1973-05-29,Forward
JonesLes19401109,Jones,Les,Les Jones,1940-11-09,Inside Right
JonesMartin19750327,Jones,Martin,Martin Jones,1975-03-27,Goalkeeper
JonesOssie19090115,Jones,Ossie,Ossie Jones,1909-01-15,Inside Right
JonesRobert1911,Jones,Robert,Robert Jones,,Left Back
JonesTommy19091206,Jones,Tommy,Tommy Jones,1909-12-06,Outside Right
JoyBrian19510226,Joy,Brian,Brian Joy,1951-02-26,Fullback
KearneySidney19170328,Kearney,Sidney,Sidney Kearney,1917-03-28,Inside Left
KearnsJack1915,Kearns,Jack,Jack Kearns,,Right Back
KellyCharles18940614,Kelly,Charles,Charles Kelly,1894-06-14,Inside Right
KellyJohn19601020,Kelly,John,John Kelly,1960-10-20,Inside Forward
KellyNoel19211228,Kelly,Noel,Noel Kelly,1921-12-28,Inside Forward
KellyRobert19641221,Kelly,Robert,Robert Kelly,1964-12-21,Midfielder
KennedyAndy18950901,Kennedy,Andy,Andy Kennedy,1895-09-01,Left Back
KennedyDavid19490214,Kennedy,David,David Kennedy,1949-02-14,Outside Right
KennedyJack,Kennedy,Jack,Jack Kennedy,,Inside Left
KennyBilly19511023,Kenny,Billy,Billy Kenny,1951-10-23,Midfielder
KenworthyJon19740818,Kenworthy,Jon,Jon Kenworthy,1974-08-18,Outside Right
KerrJohn19591123,Kerr,John,John Kerr,1959-11-23,Center Forward
KiddJackie19360115,Kidd,Jackie,Jackie Kidd,1936-01-15,Forward
KieranLen19260725,Kieran,Len,Len Kieran,1926-07-25,Left Half
KimberleyJohn21899,Kimberley,John,John Kimberley,,Center Forward
KingAlan19450118,King,Alan,Alan King,1945-01-18,Left Half
KingHerbert11911,King,Herbert,Herbert King,,Inside Forward
KingJohnny19380415,King,Johnny,Johnny King,1938-04-15,Wing Half
KinsellaPat19431108,Kinsella,Pat,Pat Kinsella,1943-11-08,Forward
KitchingHarry31905,Kitching,Harry,Harry Kitching,,Inside Forward
KnappTony19361013,Knapp,Tony,Tony Knapp,1936-10-13,Center Half
LambHarry19250603,Lamb,Harry,Harry Lamb,1925-06-03,Forward
LamontBill19261225,Lamont,Bill,Bill Lamont,1926-12-25,Fullback
LancasterDes19370716,Lancaster,Des,Des Lancaster,1937-07-16,Outside Left
LaneFrankie19480720,Lane,Frankie,Frankie Lane,1948-07-20,Goalkeeper
LawrenceTommy19400514,Lawrence,Tommy,Tommy Lawrence,1940-05-14,Goalkeeper
LeCornuCraig19600917,Le Cornu,Craig,Craig Le Cornu,1960-09-17,Midfielder
LearyRex41897,Leary,Rex,Rex Leary,,Center Half
LeeAndy19620914,Lee,Andy,Andy Lee,1962-09-14,Midfielder
LeemingCliff19200202,Leeming,Cliff,Cliff Leeming,1920-02-02,Inside Forward
LeonardMark19620927,Leonard,Mark,Mark Leonard,1962-09-27,Center Forward
LeslieAlex1902,Leslie,Alex,Alex Leslie,,Right Half
LewinsGeorge19060716,Lewins,George,George Lewins,1906-07-16,Right Back
LewisCyril19090410,Lewis,Cyril,Cyril Lewis,1909-04-10,Outside Right
LewisGinger11902,Lewis,Ginger,Ginger Lewis,,Left Half
LewisJoseph,Lewis,Joseph,Joseph Lewis,,Right Back
LewisNorman19080613,Lewis,Norman,Norman Lewis,1908-06-13,Goalkeeper
LeylandHarry19300512,Leyland,Harry,Harry Leyland,1930-05-12,Goalkeeper
LittlehalesHarry19010826,Littlehales,Harry,Harry Littlehales,1901-08-26,Inside Forward
LivingstoneDuggie18980225,Livingstone,Duggie,Duggie Livingstone,1898-02-25,Left Back
LloydEvan,Lloyd,Evan,Evan Lloyd,,Center Forward
LloydHarold19200312,Lloyd,Harold,Harold Lloyd,1920-03-12,Goalkeeper
LomaxJohn,Lomax,John,John Lomax,,Inside Left
LorensonRoy19320408,Lorenson,Roy,Roy Lorenson,1932-04-08,Center Half
LornieJack19390302,Lornie,Jack,Jack Lornie,1939-03-02,Outside Right
LoydenEddie19451222,Loyden,Eddie,Eddie Loyden,1945-12-22,Center Forward
LumbyJim19541002,Lumby,Jim,Jim Lumby,1954-10-02,Forward
MackayWilliam,Mackay,William,William Mackay,,Outside Right
MaddocksEmlyn19170706,Maddocks,Emlyn,Emlyn Maddocks,1917-07-06,Center Forward
MaherAiden19461201,Maher,Aiden,Aiden Maher,1946-12-01,Outside Left
MaherCyril21918,Maher,Cyril,Cyril Maher,,Outside Right
MahonAlan19780404,Mahon,Alan,Alan Mahon,1978-04-04,Midfielder
MajorBill19110114,Major,Bill,Bill Major,1911-01-14,Center Half
MalcolmJohn19170520,Malcolm,John,John Malcolm,1917-05-20,Half Back
MalkinChris19670604,Malkin,Chris,Chris Malkin,1967-06-04,Striker
ManningJohn19401211,Manning,John,John Manning,1940-12-11,Center Forward
MarquisFred18990615,Marquis,Fred,Fred Marquis,1899-06-15,Center Forward
MartinBarrie19350929,Martin,Barrie,Barrie Martin,1935-09-29,Left Back
